pair_name,pair_tags,win_rate,games
Alistar Jinx,MarksmanTank,0.5333333333333333,60.0
Alistar Kai'Sa,MarksmanTank,0.4740882917466411,521.0
Alistar Kalista,MarksmanTank,0.5019305019305019,259.0
Alistar Karma,MageTank,0.45,20.0
Alistar Karthus,MageTank,0.5138121546961326,181.0
Alistar Kassadin,AssassinTank,0.4936708860759494,79.0
Alistar Katarina,AssassinTank,0.5272727272727272,110.0
Alistar Kayn,FighterTank,0.5483870967741935,31.0
Alistar Kennen,MageTank,0.5072463768115942,69.0
Alistar Kha'Zix,AssassinTank,0.4,25.0
Alistar Kindred,MarksmanTank,0.49038461538461536,104.0
Alistar Kled,FighterTank,0.5063291139240507,79.0
Alistar Kog'Maw,MarksmanTank,0.75,4.0
Alistar Lee Sin,FighterTank,0.49155405405405406,592.0
Alistar Leona,TankTank,0.0,1.0
Alistar Lissandra,MageTank,0.5227272727272727,44.0
Alistar Lucian,MarksmanTank,0.47959183673469385,392.0
Alistar Lulu,SupportTank,0.64,25.0
Alistar Lux,MageTank,0.5,6.0
Alistar Malphite,TankTank,0.5217391304347826,23.0
Alistar Malzahar,MageTank,0.5,28.0
Alistar Maokai,TankTank,0.5058823529411764,85.0
Alistar Miss Fortune,MarksmanTank,0.5,538.0
Alistar Mordekaiser,FighterTank,0.5054347826086957,184.0
Alistar Morgana,MageTank,0.4,5.0
Alistar Nasus,FighterTank,0.25,4.0
Alistar Nautilus,TankTank,0.3076923076923077,13.0
Alistar Neeko,MageTank,0.42424242424242425,33.0
Alistar Nidalee,AssassinTank,0.4981132075471698,265.0
Alistar Nocturne,AssassinTank,0.5247524752475248,101.0
Alistar Nunu & Willump,TankTank,0.5555555555555556,36.0
Alistar Orianna,MageTank,0.4107142857142857,56.0
Alistar Ornn,TankTank,0.5031446540880503,159.0
Alistar Pantheon,FighterTank,0.5307017543859649,228.0
Alistar Poppy,TankTank,0.5188679245283019,106.0
Alistar Pyke,SupportTank,0.5185185185185185,27.0
Alistar Qiyana,AssassinTank,0.5700483091787439,207.0
Alistar Quinn,MarksmanTank,0.4482758620689655,29.0
Alistar Rammus,TankTank,0.46153846153846156,26.0
Alistar Rek'Sai,FighterTank,0.5286195286195287,297.0
Alistar Renekton,FighterTank,0.4897959183673469,245.0
Alistar Rengar,AssassinTank,0.5588235294117647,68.0
Alistar Riven,FighterTank,0.2857142857142857,21.0
Alistar Rumble,FighterTank,0.5100671140939598,149.0
Alistar Ryze,MageTank,0.4927536231884058,69.0
Alistar Sejuani,TankTank,0.35185185185185186,54.0
Alistar Senna,MarksmanTank,0.547945205479452,73.0
Alistar Sett,FighterTank,0.525974025974026,308.0
Alistar Shaco,AssassinTank,0.4418604651162791,43.0
Alistar Shen,TankTank,0.5098039215686274,51.0
Alistar Shyvana,FighterTank,0.4418604651162791,43.0
Alistar Singed,TankTank,0.5294117647058824,34.0
Alistar Sion,TankTank,0.4117647058823529,17.0
Alistar Sivir,MarksmanTank,0.5806451612903226,31.0
Alistar Skarner,FighterTank,0.5,10.0
Alistar Sona,SupportTank,0.125,8.0
Alistar Soraka,SupportTank,0.40625,32.0
Alistar Swain,MageTank,0.38461538461538464,13.0
Alistar Sylas,MageTank,0.4180790960451977,354.0
Alistar Syndra,MageTank,0.5514018691588785,107.0
Alistar Tahm Kench,SupportTank,0.0,1.0
Alistar Taliyah,MageTank,0.5735849056603773,265.0
Alistar Talon,AssassinTank,0.5588235294117647,136.0
Alistar Taric,SupportTank,0.26666666666666666,15.0
Alistar Teemo,MarksmanTank,0.4444444444444444,18.0
Alistar Thresh,SupportTank,0.0,1.0
Alistar Tristana,MarksmanTank,0.4897959183673469,49.0
Alistar Trundle,FighterTank,0.391304347826087,23.0
Alistar Tryndamere,FighterTank,0.4,45.0
Alistar Twitch,MarksmanTank,0.42857142857142855,7.0
Alistar Udyr,FighterTank,1.0,1.0
Alistar Varus,MarksmanTank,0.4973821989528796,191.0
Alistar Vayne,MarksmanTank,0.37349397590361444,83.0
Alistar Veigar,MageTank,0.3076923076923077,13.0
Alistar Vel'Koz,MageTank,0.1111111111111111,9.0
Alistar Vi,FighterTank,0.3333333333333333,6.0
Alistar Viktor,MageTank,0.4166666666666667,36.0
Alistar Volibear,FighterTank,0.631578947368421,19.0
Alistar Warwick,FighterTank,0.631578947368421,19.0
Alistar Wukong,FighterTank,0.5205479452054794,73.0
Alistar Xayah,MarksmanTank,0.5,66.0
Alistar Xerath,MageTank,0.5,6.0
Alistar Yasuo,FighterTank,0.5132450331125827,302.0
Alistar Yorick,FighterTank,0.2857142857142857,7.0
Alistar Zac,TankTank,0.6103896103896104,77.0
Alistar Zed,AssassinTank,0.5263157894736842,95.0
Alistar Ziggs,MageTank,0.2222222222222222,27.0
Alistar Zilean,SupportTank,0.5625,32.0
Alistar Zoe,MageTank,0.545045045045045,222.0
Alistar Zyra,MageTank,0.0,1.0
Amumu Aatrox,FighterTank,0.43333333333333335,30.0
Amumu Ahri,MageTank,0.5,4.0
Amumu Akali,AssassinTank,0.375,8.0
Amumu Anivia,MageTank,0.3333333333333333,3.0
Amumu Aphelios,MarksmanTank,0.25,28.0
Amumu Aurelion Sol,MageTank,0.5,2.0
Amumu Azir,MageTank,0.3333333333333333,6.0
Amumu Bard,SupportTank,0.3333333333333333,15.0
Amumu Blitzcrank,TankTank,0.4230769230769231,26.0
Amumu Braum,SupportTank,0.25,4.0
Amumu Caitlyn,MarksmanTank,0.6190476190476191,21.0
Amumu Camille,FighterTank,0.35294117647058826,17.0
Amumu Cassiopeia,MageTank,0.4,20.0
Amumu Corki,MarksmanTank,0.0,2.0
Amumu Darius,FighterTank,0.34782608695652173,23.0
